Trend,TimeOfYear,Year,Month,DayOfMonth,HourOfDay,DayType,Load
0.03116438,0.03116438,2003,1,12,9,1,67392
0.03127854,0.03127854,2003,1,12,10,1,70532
0.03139269,0.03139269,2003,1,12,11,1,72334.5
0.03150685,0.03150685,2003,1,12,12,1,72655.5
0.031621,0.031621,2003,1,12,13,1,73320.5
0.03173516,0.03173516,2003,1,12,14,1,70705
0.03184932,0.03184932,2003,1,12,15,1,67479
0.03196347,0.03196347,2003,1,12,16,1,65343.5
0.03207763,0.03207763,2003,1,12,17,1,64941
0.03219178,0.03219178,2003,1,12,18,1,69720
0.03230594,0.03230594,2003,1,12,19,1,75377.5
0.03242009,0.03242009,2003,1,12,20,1,76647.5
0.03253425,0.03253425,2003,1,12,21,1,75637.5
0.0326484,0.0326484,2003,1,12,22,1,72703
0.03276256,0.03276256,2003,1,12,23,1,73388.5
0.03287671,0.03287671,2003,1,12,24,1,72509.5
0.03299087,0.03299087,2003,1,13,1,2,70541
0.03310502,0.03310502,2003,1,13,2,2,70686
0.03321918,0.03321918,2003,1,13,3,2,70454
0.03333333,0.03333333,2003,1,13,4,2,68355.5
0.03344749,0.03344749,2003,1,13,5,2,67620.5
0.03356164,0.03356164,2003,1,13,6,2,70041
0.0336758,0.0336758,2003,1,13,7,2,74254.5
0.03378995,0.03378995,2003,1,13,8,2,78191
0.03390411,0.03390411,2003,1,13,9,2,79700.5
0.03401826,0.03401826,2003,1,13,10,2,79690
0.03413242,0.03413242,2003,1,13,11,2,79191.5
0.03424658,0.03424658,2003,1,13,12,2,79173.5
0.03436073,0.03436073,2003,1,13,13,2,78741
0.03447489,0.03447489,2003,1,13,14,2,78317
0.03458904,0.03458904,2003,1,13,15,2,76570
0.0347032,0.0347032,2003,1,13,16,2,74779.5
0.03481735,0.03481735,2003,1,13,17,2,74206.5
0.03493151,0.03493151,2003,1,13,18,2,77006.5
0.03504566,0.03504566,2003,1,13,19,2,80371.5
0.03515982,0.03515982,2003,1,13,20,2,78632
0.03527397,0.03527397,2003,1,13,21,2,75292
0.03538813,0.03538813,2003,1,13,22,2,70881.5
0.03550228,0.03550228,2003,1,13,23,2,71093.5
0.03561644,0.03561644,2003,1,13,24,2,69651
0.03573059,0.03573059,2003,1,14,1,3,66972
0.03584475,0.03584475,2003,1,14,2,3,69727.5
0.0359589,0.0359589,2003,1,14,3,3,68706.5
0.03607306,0.03607306,2003,1,14,4,3,65943
0.03618721,0.03618721,2003,1,14,5,3,64673.5
0.03630137,0.03630137,2003,1,14,6,3,66571
0.03641553,0.03641553,2003,1,14,7,3,70711.5
0.03652968,0.03652968,2003,1,14,8,3,74572.5
0.03664384,0.03664384,2003,1,14,9,3,75435
0.03675799,0.03675799,2003,1,14,10,3,75300
0.03687215,0.03687215,2003,1,14,11,3,75021.5
0.0369863,0.0369863,2003,1,14,12,3,75009.5
0.03710046,0.03710046,2003,1,14,13,3,74384
0.03721461,0.03721461,2003,1,14,14,3,73787
0.03732877,0.03732877,2003,1,14,15,3,72305
0.03744292,0.03744292,2003,1,14,16,3,70455.5
0.03755708,0.03755708,2003,1,14,17,3,69982.5
0.03767123,0.03767123,2003,1,14,18,3,72692
0.03778539,0.03778539,2003,1,14,19,3,76315.5
0.03789954,0.03789954,2003,1,14,20,3,74608.5
0.0380137,0.0380137,2003,1,14,21,3,71497.5
0.03812785,0.03812785,2003,1,14,22,3,67578
0.03824201,0.03824201,2003,1,14,23,3,67910
0.03835616,0.03835616,2003,1,14,24,3,66681.5
0.03847032,0.03847032,2003,1,15,1,4,64224
0.03858447,0.03858447,2003,1,15,2,4,66799.5
0.03869863,0.03869863,2003,1,15,3,4,65963
0.03881279,0.03881279,2003,1,15,4,4,63362.5
0.03892694,0.03892694,2003,1,15,5,4,62361
0.0390411,0.0390411,2003,1,15,6,4,64340
0.03915525,0.03915525,2003,1,15,7,4,69318
0.03926941,0.03926941,2003,1,15,8,4,75764
0.03938356,0.03938356,2003,1,15,9,4,78231
0.03949772,0.03949772,2003,1,15,10,4,78568
0.03961187,0.03961187,2003,1,15,11,4,78319.5
0.03972603,0.03972603,2003,1,15,12,4,78056.5
0.03984018,0.03984018,2003,1,15,13,4,76555
0.03995434,0.03995434,2003,1,15,14,4,76170
0.04006849,0.04006849,2003,1,15,15,4,74799.5
0.04018265,0.04018265,2003,1,15,16,4,72874
0.0402968,0.0402968,2003,1,15,17,4,72257
0.04041096,0.04041096,2003,1,15,18,4,75263.5
0.04052511,0.04052511,2003,1,15,19,4,79237.5
0.04063927,0.04063927,2003,1,15,20,4,77484
0.04075342,0.04075342,2003,1,15,21,4,73954
0.04086758,0.04086758,2003,1,15,22,4,69578.5
0.04098174,0.04098174,2003,1,15,23,4,69745
0.04109589,0.04109589,2003,1,15,24,4,68493.5
0.04121005,0.04121005,2003,1,16,1,5,65789
0.0413242,0.0413242,2003,1,16,2,5,65529
0.04143836,0.04143836,2003,1,16,3,5,64732.5
0.04155251,0.04155251,2003,1,16,4,5,62104
0.04166667,0.04166667,2003,1,16,5,5,61104.5
0.04178082,0.04178082,2003,1,16,6,5,62959.5
0.04189498,0.04189498,2003,1,16,7,5,67167
0.04200913,0.04200913,2003,1,16,8,5,71509
0.04212329,0.04212329,2003,1,16,9,5,72580
0.04223744,0.04223744,2003,1,16,10,5,72290.5
0.0423516,0.0423516,2003,1,16,11,5,71728.5
0.04246575,0.04246575,2003,1,16,12,5,71920.5
0.04257991,0.04257991,2003,1,16,13,5,71080.5
0.04269406,0.04269406,2003,1,16,14,5,70802.5
0.04280822,0.04280822,2003,1,16,15,5,69629
0.04292237,0.04292237,2003,1,16,16,5,68076.5
0.04303653,0.04303653,2003,1,16,17,5,67712
0.04315068,0.04315068,2003,1,16,18,5,70491.5
0.04326484,0.04326484,2003,1,16,19,5,74495.5
0.043379,0.043379,2003,1,16,20,5,72821
0.04349315,0.04349315,2003,1,16,21,5,69607
0.04360731,0.04360731,2003,1,16,22,5,65450
0.04372146,0.04372146,2003,1,16,23,5,66133.5
0.04383562,0.04383562,2003,1,16,24,5,65175.5
0.04394977,0.04394977,2003,1,17,1,6,62668.5
0.04406393,0.04406393,2003,1,17,2,6,65448.5
0.04417808,0.04417808,2003,1,17,3,6,64335.5
0.04429224,0.04429224,2003,1,17,4,6,61716
0.04440639,0.04440639,2003,1,17,5,6,60918.5
0.04452055,0.04452055,2003,1,17,6,6,62879.5
0.0446347,0.0446347,2003,1,17,7,6,68261.5
0.04474886,0.04474886,2003,1,17,8,6,74806.5
0.04486301,0.04486301,2003,1,17,9,6,76465.5
0.04497717,0.04497717,2003,1,17,10,6,76070.5
0.04509132,0.04509132,2003,1,17,11,6,75625
0.04520548,0.04520548,2003,1,17,12,6,75436.5
0.04531963,0.04531963,2003,1,17,13,6,74361.5
0.04543379,0.04543379,2003,1,17,14,6,73470
0.04554795,0.04554795,2003,1,17,15,6,71505
0.0456621,0.0456621,2003,1,17,16,6,69564.5
0.04577626,0.04577626,2003,1,17,17,6,68801
0.04589041,0.04589041,2003,1,17,18,6,72016.5
0.04600457,0.04600457,2003,1,17,19,6,75766.5
0.04611872,0.04611872,2003,1,17,20,6,74016
0.04623288,0.04623288,2003,1,17,21,6,70850.5
0.04634703,0.04634703,2003,1,17,22,6,67161.5
0.04646119,0.04646119,2003,1,17,23,6,68119.5
0.04657534,0.04657534,2003,1,17,24,6,66999
0.0466895,0.0466895,2003,1,18,1,7,64082
0.04680365,0.04680365,2003,1,18,2,7,63245.5
0.04691781,0.04691781,2003,1,18,3,7,61768
0.04703196,0.04703196,2003,1,18,4,7,59009
0.04714612,0.04714612,2003,1,18,5,7,57180
0.04726027,0.04726027,2003,1,18,6,7,57256.5
0.04737443,0.04737443,2003,1,18,7,7,58612.5
0.04748858,0.04748858,2003,1,18,8,7,61773
0.04760274,0.04760274,2003,1,18,9,7,64109.5
0.04771689,0.04771689,2003,1,18,10,7,66099.5
0.04783105,0.04783105,2003,1,18,11,7,66227
0.04794521,0.04794521,2003,1,18,12,7,66240.5
0.04805936,0.04805936,2003,1,18,13,7,66837.5
0.04817352,0.04817352,2003,1,18,14,7,65445
0.04828767,0.04828767,2003,1,18,15,7,63135.5
0.04840183,0.04840183,2003,1,18,16,7,61159.5
0.04851598,0.04851598,2003,1,18,17,7,60481.5
0.04863014,0.04863014,2003,1,18,18,7,63930
0.04874429,0.04874429,2003,1,18,19,7,68136
0.04885845,0.04885845,2003,1,18,20,7,67536
0.0489726,0.0489726,2003,1,18,21,7,65016.5
0.04908676,0.04908676,2003,1,18,22,7,62307.5
0.04920091,0.04920091,2003,1,18,23,7,63828.5
0.04931507,0.04931507,2003,1,18,24,7,63395
0.04942922,0.04942922,2003,1,19,1,1,61218
